GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037101110,4294,436,2881,402,2315,399,84,97,8,18,336,168,8,19,0,14,130,80,0,14,130,80,1413,310,166,119,59,65,0,14,0,14,0,14,473,226,715,290,586,274,129,128
1400000US06037101122,4124,876,3634,866,2939,846,12,20,0,14,509,179,0,14,35,38,139,116,44,68,95,94,490,162,0,14,0,14,21,35,0,14,0,14,239,142,230,134,227,134,3,6
1400000US06037101220,3467,423,2173,303,1578,312,9,18,44,66,484,224,0,14,16,22,42,34,7,13,35,26,1294,434,46,46,0,14,29,47,0,14,0,14,509,266,710,373,694,373,16,25
1400000US06037101221,3593,599,2479,553,1821,547,144,85,0,14,185,158,0,14,62,105,267,266,0,14,267,266,1114,331,106,130,51,103,45,71,0,14,0,14,489,230,423,269,423,269,0,14
1400000US06037101222,2290,438,1365,304,1172,343,14,25,0,14,29,41,48,75,0,14,102,137,41,70,61,111,925,338,116,131,0,14,79,126,17,29,0,14,88,80,625,341,577,353,48,56
1400000US06037101300,4253,416,3614,413,3209,438,14,19,0,14,192,82,0,14,115,161,84,59,14,21,70,56,639,155,73,99,0,14,0,14,12,21,0,14,74,75,480,141,334,156,146,116
1400000US06037101400,4006,503,2911,509,2393,475,80,119,0,14,281,236,0,14,0,14,157,132,6,9,151,132,1095,481,121,164,0,14,0,14,0,14,0,14,474,417,500,287,401,228,99,134
1400000US06037102103,2066,490,2025,491,1631,515,226,195,0,14,155,106,0,14,9,11,4,7,0,14,4,7,41,35,0,14,0,14,0,14,0,14,0,14,24,26,17,22,17,22,0,14
1400000US06037102104,4231,615,3699,603,3014,606,75,53,7,14,543,242,0,14,0,14,60,89,0,14,60,89,532,124,32,28,0,14,15,23,6,12,0,14,146,172,333,134,229,115,104,87
1400000US06037102105,1519,328,571,119,266,122,45,44,0,14,197,104,0,14,0,14,63,44,19,24,44,32,948,300,52,49,0,14,0,14,0,14,0,14,364,133,532,279,522,278,10,12
