GEO_ID,B19013_E001,B19013_M001
1400000US06037101110,88438,20688
1400000US06037101122,104643,40990
1400000US06037101220,92317,21248
1400000US06037101221,52204,17943
1400000US06037101222,38125,37622
1400000US06037101300,127566,22890
1400000US06037101400,87138,22720
1400000US06037102103,76594,20040
1400000US06037102104,109460,14610
1400000US06037102105,70750,39852
1400000US06037102107,106218,19510
1400000US06037103101,112083,25197
1400000US06037103102,73642,26585
1400000US06037103201,69347,25891
1400000US06037103202,122560,10685
1400000US06037103300,120134,32504
1400000US06037103401,101628,9109
1400000US06037103402,100059,22119
1400000US06037104103,96607,37157
1400000US06037104105,60507,9857
1400000US06037104108,74506,18518
1400000US06037104124,83958,20326
1400000US06037104201,107083,32974
1400000US06037104203,74008,12646
1400000US06037104204,76250,24953
1400000US06037104310,92457,39384
1400000US06037104321,58047,35495
1400000US06037104322,106400,31579
1400000US06037104401,77875,13272
1400000US06037104403,88571,28811
1400000US06037104404,83173,19118
1400000US06037104500,75536,20307
1400000US06037104610,88171,17872
1400000US06037104620,91875,12483
1400000US06037104701,51000,19991
1400000US06037104703,-666666666,-222222222
1400000US06037104704,79340,10228
1400000US06037104821,73214,23450
1400000US06037104822,51429,23218
1400000US06037104823,83906,24022
1400000US06037104824,115625,33392
1400000US06037106010,145938,22220
1400000US06037106020,124972,21563
1400000US06037106111,109805,29755
1400000US06037106112,114205,15404
1400000US06037106113,110032,16935
1400000US06037106114,86346,24961
1400000US06037106403,109417,34069
1400000US06037106405,93694,12149
1400000US06037106406,106754,14352
1400000US06037106407,32375,11093
1400000US06037106408,54552,14067
1400000US06037106510,149135,24500
1400000US06037106520,115283,44134
1400000US06037106603,169821,71168
1400000US06037106604,72386,19048
1400000US06037106641,123170,6675
1400000US06037106642,139500,20575
1400000US06037106643,211974,49481
1400000US06037106645,159357,67837
1400000US06037106646,114107,33988
1400000US06037106648,54111,35067
1400000US06037106649,110089,18362
1400000US06037107010,98281,23602
1400000US06037107020,84375,31489
1400000US06037108101,159531,38388
1400000US06037108102,133262,16514
1400000US06037108103,159677,27479
1400000US06037108104,144375,37570
1400000US06037108202,181709,33065
1400000US06037108203,143000,25669
1400000US06037108204,179688,43287
1400000US06037109100,70458,11694
1400000US06037109200,123533,11438
1400000US06037109300,121193,25440
1400000US06037109400,82083,56113
1400000US06037109500,92188,12559
1400000US06037109601,118210,22092
1400000US06037109603,84008,19641
1400000US06037109604,108188,12014
1400000US06037109700,110179,17505
1400000US06037109800,79347,31003
1400000US06037111100,108173,30872
1400000US06037111201,122125,27483
1400000US06037111202,109630,16910
1400000US06037111204,184425,15834
1400000US06037111205,114464,27429
1400000US06037111206,153355,39959
1400000US06037111302,100975,14395
1400000US06037111303,111815,30973
1400000US06037111304,45845,18467
1400000US06037111401,142500,53872
1400000US06037111402,59323,7666
1400000US06037113101,137072,18077
1400000US06037113102,200625,61619
1400000US06037113211,122663,31140
1400000US06037113212,92431,27675
1400000US06037113213,133241,21854
1400000US06037113231,127528,10935
1400000US06037113232,182422,39429
1400000US06037113234,65588,13099
1400000US06037113235,91622,22828
1400000US06037113237,134926,41528
1400000US06037113238,73906,22135
1400000US06037113239,54880,8804
1400000US06037113301,135875,47259
1400000US06037113303,118036,26960
1400000US06037113322,123250,21592
1400000US06037113323,90625,33140
1400000US06037113324,104063,9109
1400000US06037113423,113507,20808
1400000US06037113424,101563,30174
1400000US06037113425,73621,12667
1400000US06037113426,78581,9559
1400000US06037113427,65549,4599
1400000US06037113428,121835,31378
1400000US06037115101,130637,52694
1400000US06037115103,-666666666,-222222222
1400000US06037115104,76250,22377
1400000US06037115202,68722,25070
1400000US06037115203,80156,30144
1400000US06037115204,111375,29113
1400000US06037115301,105926,21677
1400000US06037115302,73547,17303
1400000US06037115401,62116,9057
1400000US06037115403,72386,16721
1400000US06037115404,60774,16180
1400000US06037117101,99375,15477
1400000US06037117102,82900,10777
1400000US06037117201,56250,29481
1400000US06037117202,86146,38500
1400000US06037117301,153321,28345
1400000US06037117302,105991,19589
1400000US06037117303,130724,25224
1400000US06037117404,121366,19251
1400000US06037117405,46618,12316
1400000US06037117407,56250,6215
1400000US06037117408,51836,11259
1400000US06037117510,48636,9936
1400000US06037117520,58517,9999
1400000US06037117530,46127,8945
1400000US06037119001,117474,28121
1400000US06037119003,99886,17131
1400000US06037119004,92961,57906
1400000US06037119201,112138,16771
1400000US06037119202,82500,28430
1400000US06037119310,68429,18384
1400000US06037119320,78173,46545
1400000US06037119340,44569,10231
1400000US06037119341,50800,5164
1400000US06037119342,74671,24038
1400000US06037119400,104732,28692
1400000US06037119700,93500,29696
1400000US06037119801,115250,38108
1400000US06037119802,84479,25713
1400000US06037119900,85386,33333
1400000US06037120010,77885,33291
1400000US06037120020,48800,16265
1400000US06037120030,51983,14781
1400000US06037120103,47500,17258
1400000US06037120104,55438,11552
1400000US06037120105,49118,6110
1400000US06037120106,37033,7084
1400000US06037120107,39393,12670
1400000US06037120108,59726,11814
1400000US06037120300,59579,21851
1400000US06037120400,57181,14034
1400000US06037121010,81111,27848
1400000US06037121020,75070,16923
1400000US06037121101,65536,7409
1400000US06037121102,79743,20602
1400000US06037121210,75875,12581
1400000US06037121221,94792,18555
1400000US06037121222,89500,21685
1400000US06037121600,116025,23678
1400000US06037121801,56346,15598
1400000US06037121802,105781,27406
1400000US06037121900,56115,17156
1400000US06037122000,101444,8299
1400000US06037122120,65104,19506
1400000US06037122121,61583,36174
1400000US06037122122,47524,6206
1400000US06037122200,77316,7063
1400000US06037122410,74479,12721
1400000US06037122420,62949,11693
1400000US06037123010,58619,12102
1400000US06037123020,87036,4368
1400000US06037123103,79125,18077
1400000US06037123104,74831,12167
1400000US06037123203,60375,21457
1400000US06037123204,67019,11931
1400000US06037123205,60625,21762
1400000US06037123206,71346,22258
1400000US06037123301,71250,13987
1400000US06037123303,67115,15113
1400000US06037123304,50101,12829
1400000US06037123410,43636,10104
1400000US06037123420,56250,9660
1400000US06037123510,44120,7828
1400000US06037123520,65417,10005
1400000US06037123601,86607,28351
1400000US06037123602,73580,18037
1400000US06037123700,95114,22795
1400000US06037123800,91790,17557
1400000US06037123901,54295,11421
1400000US06037123902,100135,22078
1400000US06037124000,84464,22840
1400000US06037124102,78090,15611
1400000US06037124103,62802,7074
1400000US06037124104,56250,8862
1400000US06037124105,63477,15125
1400000US06037124201,76587,14581
1400000US06037124203,82083,13568
1400000US06037124204,60164,23239
1400000US06037124300,84318,34991
1400000US06037124400,89250,25182
1400000US06037124500,80495,15540
1400000US06037124600,103750,11446
1400000US06037124700,111994,36347
1400000US06037124902,75378,13183
1400000US06037124903,86600,23640
1400000US06037125101,78135,5507
1400000US06037125102,120375,46191
1400000US06037125200,86109,16004
1400000US06037125310,72833,33335
1400000US06037125321,69053,18857
1400000US06037125322,52780,17737
1400000US06037125402,83182,21826
1400000US06037125403,93750,8494
1400000US06037125404,81976,8302
1400000US06037125501,67171,21482
1400000US06037125502,95662,14837
1400000US06037125600,104647,11070
1400000US06037127102,79653,20844
1400000US06037127103,51558,8251
1400000US06037127104,66703,10469
1400000US06037127210,67852,12155
1400000US06037127220,54778,6073
1400000US06037127300,76750,14768
1400000US06037127400,64614,14070
1400000US06037127520,53187,3583
1400000US06037127603,62414,15625
1400000US06037127604,48807,22372
1400000US06037127605,69540,17967
1400000US06037127606,75688,11445
1400000US06037127711,97813,8554
1400000US06037127712,75256,15034
1400000US06037127803,69468,10650
1400000US06037127804,66563,16183
1400000US06037127805,63333,24810
1400000US06037127806,75625,33906
1400000US06037127910,65986,13747
1400000US06037127920,74375,11129
1400000US06037128101,95990,21781
1400000US06037128102,54750,9962
1400000US06037128210,48871,16478
1400000US06037128220,63996,18469
1400000US06037128302,58929,13647
1400000US06037128303,45486,14937
1400000US06037128400,137250,14032
1400000US06037128500,92368,42618
1400000US06037128601,67452,15060
1400000US06037128602,108693,31274
1400000US06037128703,69604,35782
1400000US06037128704,155469,32702
1400000US06037128801,88571,17936
1400000US06037128802,90503,28243
1400000US06037128910,107625,20569
1400000US06037131021,62121,17717
1400000US06037131022,45784,20039
1400000US06037131023,90352,14615
1400000US06037131024,96198,31513
1400000US06037131100,103819,19351
1400000US06037131200,133958,33531
1400000US06037131300,122989,24358
1400000US06037131400,100725,16385
1400000US06037131600,92973,16016
1400000US06037131701,72321,23424
1400000US06037131702,79745,9500
1400000US06037131801,59955,19356
1400000US06037131802,99345,10029
1400000US06037131900,136875,20932
1400000US06037132001,127039,22415
1400000US06037132002,108944,21850
1400000US06037132101,64821,23421
1400000US06037132102,80469,11767
1400000US06037132301,51181,19761
1400000US06037132302,76156,28220
1400000US06037132501,86696,21190
1400000US06037132502,73558,14423
1400000US06037132700,93661,32752
1400000US06037132900,126292,41248
1400000US06037133000,98042,30472
1400000US06037133101,113993,11191
1400000US06037133102,56088,35838
1400000US06037134001,92632,14089
1400000US06037134002,81023,26469
1400000US06037134101,90227,20365
1400000US06037134103,78672,29767
1400000US06037134104,75313,22216
1400000US06037134201,120833,40455
1400000US06037134302,131250,48394
1400000US06037134303,106840,40408
1400000US06037134304,84205,34050
1400000US06037134305,60197,19501
1400000US06037134306,52038,12518
1400000US06037134421,165109,34308
1400000US06037134422,158839,17032
1400000US06037134423,124464,43911
1400000US06037134424,157980,17212
1400000US06037134520,54976,9657
1400000US06037134521,52679,14982
1400000US06037134522,69318,19101
1400000US06037134710,62813,10480
1400000US06037134720,102604,26037
1400000US06037134801,98804,26447
1400000US06037134802,83813,19456
1400000US06037134901,84688,11442
1400000US06037134904,104375,29194
1400000US06037134905,97106,21634
1400000US06037134906,67216,13274
1400000US06037134907,92759,31085
1400000US06037135102,170694,37215
1400000US06037135111,106023,22080
1400000US06037135113,117841,41911
1400000US06037135115,118162,42335
1400000US06037135116,67056,44054
1400000US06037135201,143125,36323
1400000US06037135202,128816,24606
1400000US06037135204,140085,30417
1400000US06037135205,156389,41970
1400000US06037137000,126250,31544
1400000US06037137103,86029,14002
1400000US06037137104,106599,15298
1400000US06037137202,75714,19948
1400000US06037137203,129732,42112
1400000US06037137301,196893,39089
1400000US06037137302,181786,20222
1400000US06037137401,143142,15779
1400000US06037137402,121201,12764
1400000US06037137501,95858,18297
1400000US06037137502,134388,29540
1400000US06037137504,242188,45127
1400000US06037138000,156094,36117
1400000US06037139001,127755,35059
1400000US06037139200,97015,8801
1400000US06037139301,165515,34984
1400000US06037139302,82806,8219
1400000US06037139303,69263,12244
1400000US06037139401,84575,10372
1400000US06037139402,198043,83734
1400000US06037139502,132738,21064
1400000US06037139504,78198,14007
